TAZ;polygon_coords;centroid_coords;polygon_edge_ids;polygon_lane_ids;centroid_edge_id;centroid_lane_id
1;[(-122.41622413798981, 37.70832816575624), (-122.41596250398896, 37.70890894396937), (-122.41596473297069, 37.70899542880178), (-122.41595209348067, 37.70924320219322), (-122.41599642004742, 37.70942000278869), (-122.41601052998661, 37.70956502285789), (-122.41595509767453, 37.70969503112985), (-122.41525767191456, 37.70946601862366), (-122.41499277699904, 37.710055077873776), (-122.41464118495429, 37.71083577869649), (-122.4139028865428, 37.71063111249055), (-122.41316112732926, 37.71042615335499), (-122.41288811372797, 37.711036285350936), (-122.41228037343122, 37.71086622886043), (-122.41134871129005, 37.710604598915424), (-122.41196808798917, 37.70921043234557), (-122.4122328235949, 37.708614509501395), (-122.4123603079085, 37.70832847349915), (-122.41334053843994, 37.70832868957538), (-122.41359467394543, 37.70832903047213), (-122.41422050550992, 37.708329504607114), (-122.41437437534346, 37.708329746260816), (-122.41523358228322, 37.70832951847678), (-122.41533038824033, 37.708329316930666), (-122.41622413798981, 37.70832816575624)];(-122.41368927929013, 37.70949350315988);['8920382#2', '-255178140#2', '-8917784', '8916866#3', '-8916866#4', '-224373758#3', '-255178138#2', '-8916866#2', '8920382#1', '8917686', '-224373760#1', '224373760#0', '-8920382#0', '-8920089#0', '-224373758#2'];['-255178140#2_0', '-8916866#4_0', '-224373758#3_0', '8917686_0', '-8920382#0_0', '-8916866#2_0', '-8920089#0_0', '8916866#3_0', '8920382#2_0', '8920382#1_0', '-224373758#2_0', '224373760#0_0', '-224373760#1_0', '-255178138#2_0', '-8917784_0'];8917784;8917784_0
2;[(-122.46891865537559, 37.70822751242421), (-122.46846911482835, 37.708682447108735), (-122.46844218580566, 37.708710359556825), (-122.46815599921302, 37.70893628147935), (-122.4677173861303, 37.709282172555966), (-122.46720217915802, 37.709608056001464), (-122.46716138001136, 37.709634140757224), (-122.46679128488958, 37.709825746600686), (-122.46599432983068, 37.71015392407064), (-122.46476685513701, 37.71048138268487), (-122.46436351244571, 37.71052690867125), (-122.46417562610291, 37.7105482443706), (-122.46289320184971, 37.71056274890642), (-122.46255792428403, 37.7105673078918), (-122.46148814981598, 37.71058238576286), (-122.46090389191305, 37.71058593155465), (-122.4604820121354, 37.71032203729672), (-122.46061948239712, 37.710028224476936), (-122.46061358909448, 37.70967361611939), (-122.46044241481998, 37.70954152085466), (-122.45882470540394, 37.70844458404462), (-122.45850443930458, 37.708230837422306), (-122.4590625383771, 37.70821949936253), (-122.45972775782992, 37.70820568152349), (-122.45984864413, 37.70820058426317), (-122.46002996726864, 37.70819310279918), (-122.46108479304137, 37.708202670121466), (-122.4612281883694, 37.708198908299636), (-122.46139057733845, 37.70819448260463), (-122.46195085190507, 37.708199919979045), (-122.46209418196513, 37.70819375316011), (-122.46223578149086, 37.70818761781079), (-122.4625901798174, 37.70818754959779), (-122.46276478657519, 37.70818738811337), (-122.46393904560261, 37.7082028338746), (-122.4643454430358, 37.7082073911036), (-122.46481235013015, 37.708212653372826), (-122.46576831381778, 37.70821009398702), (-122.46662402132304, 37.70820816578894), (-122.46861200819153, 37.70820310845122), (-122.4686344830728, 37.70820307877686), (-122.46894391718438, 37.70820236890586), (-122.46891865537559, 37.70822751242421)];(-122.46368676850862, 37.709210338632325);['689603978', '8917265#1', '-37573546#4', '689603998', '-133748358', '8939343#2', '37572389#0', '-8939343#2', '170407064', '160999389', '133748358', '133748348#0'];['170407064_0', '160999389_0', '37572389#0_0', '-37573546#4_1', '-8939343#2_0', '-37573546#4_2', '-133748358_0', '689603978_2', '689603998_1', '689603998_3', '8917265#1_0', '689603978_1', '689603998_0', '133748348#0_1', '-37573546#4_0', '8939343#2_0', '689603998_2', '133748348#0_2', '689603978_0', '133748358_0', '133748348#0_0'];160999389;160999389_0
3;[(-122.4245509549681, 37.71010187243449), (-122.42418174973848, 37.71026516549446), (-122.42336841454782, 37.71030179686246), (-122.42302633456603, 37.7103774315157), (-122.42281022696717, 37.71051075838366), (-122.42241066331906, 37.71097087062121), (-122.42224152762957, 37.71131665257501), (-122.42095259824721, 37.711013197829), (-122.41948920767936, 37.71078193083372), (-122.41877217033793, 37.7107318139107), (-122.418576433467, 37.710717146346106), (-122.41784726084717, 37.710732453373964), (-122.41751599781342, 37.710691836710126), (-122.41664767242324, 37.71047316413496), (-122.41688151247688, 37.709954305154284), (-122.41738987226918, 37.710091273155086), (-122.41765219248221, 37.709470315600214), (-122.41850375373248, 37.7097095148476), (-122.41934835345637, 37.70994675681511), (-122.42003478035042, 37.70842020801992), (-122.42007425448301, 37.70833242308892), (-122.42015897268358, 37.70833275499068), (-122.42376373519612, 37.708341922436155), (-122.42336154354074, 37.709234034837586), (-122.42335332916096, 37.70925099700475), (-122.42335332919733, 37.70925099841057), (-122.4238198275941, 37.70957404431465), (-122.42397120334606, 37.70967835966163), (-122.4245509549681, 37.71010187243449)];(-122.42098508050529, 37.70977662951145);['1010488208#1', '8916866#5', '-254299120#1', '1010488207', '513694377', '-123660737', '-789153219', '-1010488208#0', '-8921777#1', '-33784115#0', '417958437', '-8919613#1', '8921777#1', '789153219'];['513694377_0', '-8919613#1_0', '-33784115#0_0', '789153219_0', '1010488208#1_0', '-123660737_0', '-789153219_0', '8921777#1_0', '-254299120#1_0', '8916866#5_0', '417958437_0', '-1010488208#0_0', '-123660737_1', '-8921777#1_0', '1010488207_0'];8921358;8921358_0
4;[(-122.46090389191305, 37.71058593155465), (-122.45948818119692, 37.710594387423164), (-122.45830751928217, 37.71059960057794), (-122.4573129837391, 37.7106484100737), (-122.45633928018951, 37.71083214851251), (-122.45620729869897, 37.71087554391072), (-122.45562108511766, 37.71106760769243), (-122.45515836386879, 37.71069655312136), (-122.45488466142626, 37.71047859346362), (-122.45454730772035, 37.71020709120478), (-122.45388683173671, 37.709678612669514), (-122.45324928036305, 37.7091669188622), (-122.45287841987013, 37.708869880860895), (-122.45266068906399, 37.708807903988685), (-122.45428163979646, 37.708256000677665), (-122.45432223503848, 37.70822202099496), (-122.45456078720889, 37.70822115657842), (-122.4555650701505, 37.70821546887701), (-122.4557328193625, 37.708217489311906), (-122.45590230126649, 37.70821982953296), (-122.45718373619441, 37.70823459788089), (-122.45791523578843, 37.70824303730523), (-122.45850443930458, 37.708230837422306), (-122.45882470540394, 37.70844458404462), (-122.46044241481998, 37.70954152085466), (-122.46061358909448, 37.70967361611939), (-122.46061948239712, 37.710028224476936), (-122.4604820121354, 37.71032203729672), (-122.46090389191305, 37.71058593155465)];(-122.45687014232834, 37.70948152461263);['539148209#0', '-8920584#0', '397103495', '-37573546#4', '8917265#1', '689603998', '254757815', '417976234', '37572389#0', '256744912', '133748358', '8917616#0', '-286434721#10', '170407064', '400104475#0', '397099381'];['397099381_0', '-286434721#10_1', '170407064_0', '37572389#0_0', '397103495_1', '254757815_1', '-37573546#4_1', '400104475#0_1', '417976234_0', '-37573546#4_2', '397103495_0', '256744912_0', '-8920584#0_0', '689603998_1', '689603998_3', '8917265#1_0', '254757815_0', '-286434721#10_0', '8917616#0_0', '539148209#0_0', '689603998_0', '400104475#0_0', '-37573546#4_0', '689603998_2', '133748358_0'];-8919408;-8919408_0
5;[(-122.42007425448301, 37.70833242308892), (-122.42003478035042, 37.70842020801992), (-122.41934835345637, 37.70994675681511), (-122.41850375373248, 37.7097095148476), (-122.41765219248221, 37.709470315600214), (-122.41738987226918, 37.710091273155086), (-122.41688151247688, 37.709954305154284), (-122.41664767242324, 37.71047316413496), (-122.41600019688052, 37.71191451263323), (-122.41508067992122, 37.71165511925729), (-122.41288811372797, 37.711036285350936), (-122.41316112732926, 37.71042615335499), (-122.4139028865428, 37.71063111249055), (-122.41464118495429, 37.71083577869649), (-122.41499277699904, 37.710055077873776), (-122.41525767191456, 37.70946601862366), (-122.41595509767453, 37.70969503112985), (-122.41601052998661, 37.70956502285789), (-122.41599642004742, 37.70942000278869), (-122.41595209348067, 37.70924320219322), (-122.41596473297069, 37.70899542880178), (-122.41596250398896, 37.70890894396937), (-122.41622413798981, 37.70832816575624), (-122.41709369119927, 37.70832706270022), (-122.41720778207393, 37.70832692565181), (-122.41804798395157, 37.708326978263564), (-122.41816555189394, 37.7083274671908), (-122.4190179178036, 37.70833041034494), (-122.41911992978096, 37.708331151778424), (-122.41923750835417, 37.70833163946278), (-122.41970427121763, 37.70833159070201), (-122.41971910515107, 37.708331620361626), (-122.42007425448301, 37.70833242308892)];(-122.41665051636961, 37.70983511567827);['1010488208#1', '8920382#2', '8916866#5', '-254299120#1', '224373760#5', '513694377', '8916866#3', '-8916866#4', '-255178138#2', '-224373760#1', '8920382#1', '224373760#4', '-8919613#1', '-8920382#0', '8917686', '-8920089#0'];['513694377_0', '-8919613#1_0', '224373760#4_0', '-8916866#4_0', '1010488208#1_0', '8917686_0', '-254299120#1_0', '8916866#5_0', '-8920382#0_0', '-8920089#0_0', '8916866#3_0', '8920382#1_0', '8920382#2_0', '-224373760#1_0', '-255178138#2_0', '224373760#5_0'];-8919613#1;-8919613#1_0
6;[(-122.4123603079085, 37.70832847349915), (-122.4122328235949, 37.708614509501395), (-122.41196808798917, 37.70921043234557), (-122.41134871129005, 37.710604598915424), (-122.41064128498847, 37.71220620980922), (-122.40972883096211, 37.711952151057915), (-122.40882684832974, 37.71170169330772), (-122.40792651260968, 37.71144776896085), (-122.40701398028648, 37.711190257619194), (-122.40618506794382, 37.71095713780644), (-122.40520989069626, 37.71068277042971), (-122.40422608658835, 37.710409216677505), (-122.40425423098333, 37.71036069404613), (-122.40463711460303, 37.709717213775114), (-122.40483886889186, 37.7093599394884), (-122.40510776762447, 37.70885667405951), (-122.40534385552509, 37.70835497806565), (-122.40552179710066, 37.70835003327384), (-122.4062511866307, 37.70834407410938), (-122.40647587540025, 37.70834215175431), (-122.40659171616102, 37.70834233280098), (-122.40729017673102, 37.7083437368885), (-122.40731438203139, 37.7083436810477), (-122.40775344668411, 37.7083420705735), (-122.40811092803487, 37.708327347386394), (-122.40829937129723, 37.70832738986854), (-122.4123603079085, 37.70832847349915)];(-122.40848570484151, 37.70987648373749);['255351736#2', '-254396723', '255351736#0', '-254299138#0', '-8917784', '254299114#0', '-224373758#3', '286471135', '255351736#1', '-255178140#2', '-254299138#1', '224373744#0', '-224373758#2'];['-255178140#2_0', '-254299138#0_0', '224373744#0_1', '-224373758#3_0', '224373744#0_0', '254299114#0_0', '254299114#0_1', '-254299138#1_0', '255351736#1_0', '255351736#2_0', '-224373758#2_0', '255351736#0_0', '-254396723_0', '-8917784_0', '286471135_0'];254396720#1;254396720#1_0
7;[(-122.42224152762957, 37.71131665257501), (-122.42212223061213, 37.71171759289366), (-122.42196230646648, 37.71201824337951), (-122.42187867555934, 37.71206047342428), (-122.42163122730483, 37.712185378485536), (-122.42132081002423, 37.71221584550672), (-122.41973243014368, 37.71196567530664), (-122.41939236282596, 37.71198598644072), (-122.41876515382269, 37.71193336889614), (-122.41828315175266, 37.712349145277024), (-122.41802865549775, 37.71233543510148), (-122.41757656729152, 37.71230227528654), (-122.41673849612383, 37.71211813643029), (-122.41600019688052, 37.71191451263323), (-122.41664767242324, 37.71047316413496), (-122.41751599781342, 37.710691836710126), (-122.41784726084717, 37.710732453373964), (-122.418576433467, 37.710717146346106), (-122.41877217033793, 37.7107318139107), (-122.41948920767936, 37.71078193083372), (-122.42095259824721, 37.711013197829), (-122.42224152762957, 37.71131665257501)];(-122.41891290524403, 37.71147525336441);['-1209942997', '8921777#0', '254299137', '-254299120#1', '224373760#5', '1010488207', '-789153219', '-1010488208#0', '-8921777#0', '8921777#1', '789153219', '-8922884#0'];['-8921777#0_0', '789153219_0', '-789153219_0', '8921777#1_0', '-254299120#1_0', '1010488207_0', '254299137_0', '-1010488208#0_0', '-1209942997_0', '8921777#0_0', '224373760#5_0', '-8922884#0_0'];8922884#1;8922884#1_0
8;[(-122.43699285175464, 37.710745693289645), (-122.43604896210921, 37.71074816330142), (-122.43526468114517, 37.71090458242146), (-122.43462060793532, 37.71113423472546), (-122.43418237405956, 37.711368048973505), (-122.4337759667277, 37.711695435494484), (-122.43343234427695, 37.71211037175708), (-122.43299193559844, 37.712726391797794), (-122.43283802902937, 37.712658523756566), (-122.43242278006745, 37.712380689260335), (-122.4323151167793, 37.712229312573264), (-122.43216616318183, 37.71201955110551), (-122.43186665543708, 37.711404686740494), (-122.43182891464927, 37.71121644902131), (-122.4313666237094, 37.71065781465974), (-122.43122881350199, 37.71054401495085), (-122.43084052464204, 37.71030453387551), (-122.43067615690717, 37.710166446506435), (-122.43128316228442, 37.70964144254684), (-122.43155367911875, 37.709406600670185), (-122.43190239436866, 37.70918764954296), (-122.43256917763782, 37.708768098893856), (-122.4337790996609, 37.70829362040515), (-122.43414904921747, 37.70829304629593), (-122.43498575192092, 37.70829165864584), (-122.4353032669535, 37.70866792634606), (-122.43549799726628, 37.70884293805216), (-122.43594218652434, 37.70930330627369), (-122.43596799252069, 37.70929875981971), (-122.43617653906928, 37.709406927236856), (-122.43659688204943, 37.70988038805494), (-122.43668705256943, 37.71002346368927), (-122.4367717543577, 37.71015598664053), (-122.43697791093332, 37.71063674709948), (-122.43699285175464, 37.710745693289645)];(-122.4337131321821, 37.71017142653959);['254984075#0', '-8916177#1', '-254984069#0', '-254984076#1', '8922863', '-237050349#2', '-254984075#2', '-237050342#3', '-8916425#2', '254984073#1', '-8920853#2', '-254984076#0', '-8919627#0', '-8916177#0', '-758042481', '-8920853#1', '8916177#1', '237050345', '237050355', '-254984075#0', 'E6', '-254984063'];['E6_0', '-254984075#0_0', '-8916177#0_0', '-237050342#3_0', '254984073#1_0', '-8916177#1_0', '-254984063_0', '-8920853#1_0', '8922863_0', '254984075#0_0', '-237050349#2_0', '-8919627#0_0', '8916177#1_0', '-758042481_0', '-254984069#0_0', '-8920853#2_0', '237050355_0', '-254984076#0_0', '-254984075#2_0', '-254984076#1_0', '237050345_0', '-8916425#2_0'];8916425#1;8916425#1_0
9;[(-122.45562108511766, 37.71106760769243), (-122.45559536673409, 37.71107593753574), (-122.45502772631686, 37.71131713497825), (-122.45450355768818, 37.711633493085934), (-122.4538711840597, 37.7120433258171), (-122.45295154707314, 37.71277209874056), (-122.45290758837523, 37.712809914168645), (-122.45287545440054, 37.712837227090624), (-122.4519508061531, 37.71205902329126), (-122.45153756117874, 37.7117283464846), (-122.45077465315275, 37.71111741854065), (-122.45013893337385, 37.710609113776684), (-122.44946263010941, 37.71006954125382), (-122.44930898508198, 37.70994607232983), (-122.45009553364083, 37.70967998326403), (-122.45049823527486, 37.70954352397568), (-122.4508837909462, 37.70941283664594), (-122.45266068906399, 37.708807903988685), (-122.45287841987013, 37.708869880860895), (-122.45324928036305, 37.7091669188622), (-122.45388683173671, 37.709678612669514), (-122.45454730772035, 37.71020709120478), (-122.45488466142626, 37.71047859346362), (-122.45515836386879, 37.71069655312136), (-122.45562108511766, 37.71106760769243)];(-122.45254982504464, 37.71065585175803);['539148209#0', '-400105599#8', '286434721#5', '-286434721#10', '48208460#0', '417976234', '256744912', '37573562', '400104475#0', '286434721#8', '-8916803#4', '-8916803#2', '689603998', '-286434721#9', '8918936#6', '-8920584#0', '8917616#0', '-8922222#2', '397099381', '700441638'];['700441638_2', '397099381_0', '286434721#5_0', '-8916803#4_0', '286434721#8_1', '-286434721#10_1', '-286434721#9_0', '-8922222#2_0', '48208460#0_0', '-400105599#8_0', '400104475#0_1', '417976234_0', '48208460#0_2', '256744912_0', '-8920584#0_0', '689603998_1', '689603998_3', '-286434721#9_1', '700441638_3', '286434721#5_1', '-8916803#2_0', '37573562_0', '700441638_1', '48208460#0_1', '-286434721#10_0', '539148209#0_0', '8917616#0_0', '689603998_0', '8918936#6_0', '400104475#0_0', '689603998_2', '286434721#8_0', '700441638_0'];-8920584#0;-8920584#0_0
10;[(-122.46257047080273, 37.71137024616738), (-122.46258049445754, 37.712273487924094), (-122.46258016120791, 37.712523122728115), (-122.46256906445005, 37.71315030682692), (-122.45902362665507, 37.71317190400837), (-122.45605218193175, 37.713193471080565), (-122.45604475542423, 37.71231971544337), (-122.45466537825274, 37.71233059654683), (-122.45508804153864, 37.71190123825466), (-122.45559208670507, 37.71147670145785), (-122.45574768453719, 37.71134535767325), (-122.45581534239379, 37.711223020967225), (-122.45620729869897, 37.71087554391072), (-122.45633928018951, 37.71083214851251), (-122.4573129837391, 37.7106484100737), (-122.45830751928217, 37.71059960057794), (-122.45948818119692, 37.710594387423164), (-122.46090389191305, 37.71058593155465), (-122.46102872713914, 37.710664884308514), (-122.46132254231972, 37.710792532967616), (-122.4619012983174, 37.7109734735218), (-122.4625462009053, 37.71117115556527), (-122.46206398228905, 37.71137284773078), (-122.46257047080273, 37.71137024616738)];(-122.4590507545403, 37.711937803029805);['89527380', '539148209#0', '8916557#2', '397103495', '689603998', '254757815', '-427279470#1', '37572292#0', '513667637', '37572389#0', '37572292#1', '-8916557#0', '37572389#1', '-427279470#0', '-8920290#2', '27145708#1', '8921599', '8920290#1'];['89527380_1', '37572389#1_0', '-8916557#0_0', '37572292#1_0', '37572389#0_0', '397103495_1', '254757815_1', '-427279470#1_0', '8921599_2', '27145708#1_0', '513667637_0', '397103495_0', '8921599_1', '-8920290#2_0', '689603998_1', '689603998_3', '254757815_0', '8916557#2_0', '37572292#0_0', '539148209#0_0', '-427279470#0_0', '8921599_0', '689603998_0', '8920290#1_0', '89527380_0', '513667637_3', '689603998_2', '513667637_2', '513667637_1'];-8916547#2;-8916547#2_0
11;[(-122.44409718530422, 37.71168931104319), (-122.44375728716086, 37.7117821427832), (-122.44370083940025, 37.7118050471767), (-122.44331974756321, 37.71190920137848), (-122.44319272070793, 37.711943913948545), (-122.44256615457154, 37.712115288433814), (-122.44214212484864, 37.7122300989036), (-122.441585891428, 37.712380733491344), (-122.4411034729738, 37.71251092570764), (-122.44060390319542, 37.71264620712613), (-122.44007856402173, 37.7127880851311), (-122.43975064723325, 37.71287658268639), (-122.43970320411779, 37.71291342094209), (-122.43941660189519, 37.71299505586092), (-122.43906977580288, 37.71308729455872), (-122.43856496324938, 37.713220933425255), (-122.43805326533605, 37.713356056074005), (-122.43689425275097, 37.71366321181851), (-122.43664233682831, 37.7135499176664), (-122.43748650180481, 37.71237338911498), (-122.43781181850362, 37.71191993673641), (-122.4380582377181, 37.71202129653758), (-122.43856304307366, 37.711887661222946), (-122.43908155792646, 37.711749672919126), (-122.43958807067504, 37.711615321505825), (-122.4401083212439, 37.71147730003129), (-122.44061660564894, 37.71134462799311), (-122.44113004974467, 37.71121117531843), (-122.44165894283525, 37.71107335185044), (-122.44215692561797, 37.710943935657696), (-122.44270028596043, 37.710764319742154), (-122.44333620348061, 37.71055467258986), (-122.44368508959863, 37.71120269390042), (-122.44409718530422, 37.71168931104319)];(-122.44036809499387, 37.712087649804175);['-8916155#1', '254759943#5', '-255178040#8', '8916155#0', '-8920624#2', '254759943#6', '24006812#2', '-8916155#2', '254759943#7', '-8919623#2', '254759943#2', '-8916155#5', '-8916155#3', '8916663#2', '8921365#1', '-8916155#6', '-8916155#4', '254759943#1', '254984070#0', '-8920624#1', '8917158#2', '-188964538#1'];['-8920624#1_0', '24006812#2_0', '254759943#1_0', '8916155#0_0', '8917158#2_0', '254759943#5_0', '8916663#2_0', '-8920624#2_0', '254759943#2_0', '-8916155#6_0', '-188964538#1_0', '254759943#6_0', '-8916155#3_0', '-8916155#5_0', '254759943#7_0', '-255178040#8_0', '-8916155#4_0', '-8916155#2_0', '254984070#0_0', '-8916155#1_0', '-8919623#2_0', '8921365#1_0'];24006812#3;24006812#3_0
12;[(-122.41573211119592, 37.712513588916075), (-122.41600019773637, 37.71191451327566), (-122.41673849696075, 37.71211813692915), (-122.41757656653849, 37.71230227581268), (-122.4180286562357, 37.71233543441646), (-122.41828315101492, 37.71234914587997), (-122.41876515459202, 37.71193336948631), (-122.41939236366251, 37.71198598692858), (-122.4197324309094, 37.7119656758301), (-122.42132080932379, 37.712215846109196), (-122.42163122650496, 37.712185377837166), (-122.42187867633876, 37.71206047403629), (-122.42251543986694, 37.71248238304784), (-122.42205523906077, 37.71360652662958), (-122.42201941504678, 37.71369226542113), (-122.42188401054773, 37.71380469712239), (-122.42173276444687, 37.71390639604378), (-122.4213200005376, 37.71399038941098), (-122.42109620608942, 37.71396107824888), (-122.41573211119592, 37.712513588916075)];(-122.41969192775709, 37.712805667430786);['-1209942997', '8921777#0', '254299137', '224373760#5', '224373761', '-124671897', '-8921777#0', '-254299119', '-8922884#0'];['-8921777#0_0', '-124671897_0', '-254299119_0', '-1209942997_0', '8921777#0_0', '224373761_0', '254299137_0', '224373760#5_0', '-8922884#0_0'];-124671897;-124671897_0
13;[(-122.44930898508198, 37.70994607232983), (-122.44946263010941, 37.71006954125382), (-122.45013893337385, 37.710609113776684), (-122.45077465315275, 37.71111741854065), (-122.45153756117874, 37.7117283464846), (-122.4519508061531, 37.71205902329126), (-122.45101216153164, 37.71285505802468), (-122.4506334505789, 37.713115427262736), (-122.44999449472495, 37.71347315576581), (-122.4489506713603, 37.71388599591564), (-122.44810828479133, 37.71321078767976), (-122.4474089334241, 37.71264960613682), (-122.44679965746555, 37.71216076589279), (-122.4460914890941, 37.71159217270223), (-122.44638304587498, 37.711436267790276), (-122.44767205117714, 37.71074847935875), (-122.44837622277313, 37.71037285758756), (-122.44893025839471, 37.7100738903961), (-122.44930898508198, 37.70994607232983)];(-122.4491011979731, 37.711916112000466);['-8920714#1', '-8916803#2', '286438007#4', '286434721#1', '-400105599#8', '-8920714#3', '-286434721#6', '-8916803#4', '-400105599#4', '286434721#5', '-286434721#3', '-8922222#2', '8918936#6', '-8920714#0'];['286434721#5_0', '-8916803#4_0', '286434721#1_0', '-8920714#3_0', '-8920714#1_0', '286438007#4_0', '286438007#4_1', '-8922222#2_0', '-400105599#4_0', '-400105599#8_0', '286434721#5_1', '-286434721#3_0', '-8916803#2_0', '-8920714#0_0', '-286434721#3_1', '8918936#6_0', '286434721#1_1', '-286434721#6_0', '-286434721#6_1'];254759965#2;254759965#2_0
14;[(-122.43837047783084, 37.71113301428794), (-122.43791683569188, 37.711770216113514), (-122.43781181850362, 37.71191993673641), (-122.43748650180481, 37.71237338911498), (-122.43664233682831, 37.7135499176664), (-122.43617715762156, 37.7142096205557), (-122.43536021035654, 37.71384362975876), (-122.43454150975512, 37.71347593931518), (-122.43370644010976, 37.71314318780333), (-122.43358826910355, 37.71298717471839), (-122.43299193559844, 37.712726391797794), (-122.43343234427695, 37.71211037175708), (-122.4337759667277, 37.711695435494484), (-122.43418237405956, 37.711368048973505), (-122.43462060793532, 37.71113423472546), (-122.43526468114517, 37.71090458242146), (-122.43604896210921, 37.71074816330142), (-122.43699285175464, 37.710745693289645), (-122.43758709061642, 37.71085987314462), (-122.43837047783084, 37.71113301428794)];(-122.43570587398602, 37.7122347979732);['255178076#1', '-255178040#8', '-8920853#2', '397106015', '-254984069#0', '-8916177#0', '-188964538#3', '254984070#0', '-237050342#3', '8922863', '712555564', '-8919627#0', '255178076#0', '-254984069#1', '-8920853#1', '-188964538#1'];['-237050342#3_0', '-8916177#0_0', '397106015_0', '-188964538#3_0', '-8920853#1_0', '255178076#0_1', '8922863_0', '255178076#1_0', '-8919627#0_0', '-188964538#1_0', '255178076#1_1', '-255178040#8_0', '-254984069#0_0', '397106015_1', '712555564_0', '-8920853#2_0', '254984070#0_0', '-254984069#1_0', '255178076#0_0', '397106015_2', '712555564_1'];-255178040#7;-255178040#7_0
15;[(-122.40792651260968, 37.71144776896085), (-122.40746568796472, 37.71248876765148), (-122.40734789753442, 37.712547330433125), (-122.40705582624376, 37.71322574332036), (-122.40676713195903, 37.71390066896404), (-122.40647667183869, 37.71457494161131), (-122.4061895446955, 37.715244349453634), (-122.40552259991382, 37.71505872699869), (-122.40382335631534, 37.71439535407032), (-122.40369231007524, 37.714341503202505), (-122.40361761079294, 37.7143276025875), (-122.40350598671071, 37.71435721727797), (-122.40265429019641, 37.714585928233625), (-122.40256257149372, 37.71464990163994), (-122.402325544241, 37.71471107570134), (-122.4021877541022, 37.714731493134295), (-122.40235155690765, 37.71457914454296), (-122.40244124834337, 37.71443554103605), (-122.40241643706547, 37.714276617154326), (-122.40209593322801, 37.71350819199383), (-122.40209836221014, 37.71299481559919), (-122.40209842894652, 37.71279497906539), (-122.40211360868558, 37.712712319928585), (-122.40225839947428, 37.71256027837035), (-122.40247127672438, 37.71243391675225), (-122.40245957742081, 37.71217932520783), (-122.40281975426691, 37.712134363327955), (-122.40289460740364, 37.71208679809676), (-122.40303750323801, 37.711995556600996), (-122.4031564412472, 37.71184702008899), (-122.40320502631211, 37.71178614669427), (-122.4036496014347, 37.7111887112742), (-122.40415927868769, 37.71050060513189), (-122.40422608658835, 37.710409216677505), (-122.40520989069626, 37.71068277042971), (-122.40618506794382, 37.71095713780644), (-122.40701398028648, 37.711190257619194), (-122.40792651260968, 37.71144776896085)];(-122.40491732666146, 37.71280274717028);['8918882#3', '-255178137#1', '-1208130566#1', '-254396723', '8918882#2', '255178045#0', '-8916207', '27041812#0', '255351727', '-255178133', '-515593377#1', '286471135', '255351706#0', '-254299138#1', '8917741', '8917003#1', '-255178137#2', '-254299138#0', '254299114#0', '-1208130560'];['8917741_0', '27041812#0_1', '8918882#2_0', '254299114#0_1', '255178045#0_1', '255351706#0_0', '8917003#1_0', '-1208130566#1_0', '-255178137#1_0', '-8916207_0', '-255178137#2_0', '255351727_0', '286471135_0', '-254299138#0_0', '254299114#0_0', '8918882#3_0', '-1208130560_0', '27041812#0_0', '-254396723_0', '-515593377#1_0', '-255178133_0', '-254299138#1_0', '255178045#0_0'];-255351703;-255351703_0
